标题,状态,类型,模块,描述,验收,Impact,Confidence,Ease,Size,Owner
BL-11 登录 Demo 验收与回归用例,待验收,Test,全栈,"已补后端 unittest 覆盖 auth API、受保护接口 401、退出后失效、生成历史列表/详情和用户隔离；已完成前端 tsc/lint/build 验证和本地 auth smoke test；后续可补 Playwright 级 UI 自动化。","存在一组可本地运行的 smoke/regression 测试或脚本；覆盖注册、登录、/auth/me、退出、未登录 401、生成历史列表和历史详情；README 或测试说明记录运行方式与当前 demo 限制。",8,9,8,S,
BL-12 Auth 数据持久化与迁移方案,待开始,Chore,后端,"当前 auth/history 使用本地 SQLite 文件；需要确定 staging/production 的持久化方式、迁移机制、备份策略和自动化初始化流程，避免重新部署或实例重建导致账号和历史丢失。","明确使用托管数据库或持久卷；有 schema migration 流程；部署环境通过 CI/CD 或平台配置自动创建/迁移；staging 自动部署后注册账号和历史记录在重启后仍存在；记录回滚和备份恢复方式。",9,8,5,L,
BL-13 会话安全加固,待开始,Security,全栈,"Demo 使用 localStorage Bearer token；生产前评估改为 HttpOnly Secure SameSite cookie 或短期 access token + refresh token，并补齐 CORS/CSRF/XSS 风险控制。","会话令牌不暴露给普通 JS 或有明确风险接受记录；登录、刷新、退出、过期续期流程稳定；跨域配置只允许可信前端域名；退出后服务端 session 失效；安全方案经过代码 review。",9,7,4,L,
BL-14 密码与账号生命周期,待开始,Feature,全栈,"补齐账号生命周期：邮箱验证、忘记密码/重置密码、密码强度策略、错误登录限流、账号锁定或验证码策略，以及错误提示文案。","用户可完成邮箱验证和密码重置；弱密码被阻止；连续失败登录触发限流或保护；错误提示不泄露账号是否存在；关键流程有异常路径测试。",8,7,4,L,
BL-15 用户角色与数据权限,待开始,Feature,全栈,"PRD 中存在总部品牌/区域负责人/分店运营等账号层级；需要定义角色、组织归属、可见范围、可编辑权限和管理员能力。","用户表或权限模型支持角色和组织归属；历史记录、PPT 项目和导出资源按用户/组织隔离；管理员可管理成员或查看范围内项目；越权访问返回 403 并有测试覆盖。",9,7,4,L,
BL-16 生成历史与版本管理完善,待开始,Feature,全栈,"当前只在生成时保存 story 快照；后续需要支持编辑后的版本保存、命名、搜索、删除、复制、回滚，以及 fast/guided 两种模式的历史恢复一致性。","每次关键编辑可生成版本快照；用户可重命名、搜索、删除、复制历史项目；从历史打开后继续编辑和导出结果正确；回滚到旧版本不会覆盖最新版本；列表分页或限制策略明确。",8,8,5,M,
BL-17 登录体验与异常文案打磨,待开始,UX,前端,"当前登录页为基础表单；需要补加载状态、字段校验、错误消息解析、移动端布局、会话过期提示、注册/登录切换体验和返回原路径。","登录/注册表单有即时校验；后端错误被转换成用户可读中文；会话过期时提示并保留可恢复上下文；移动端无溢出；可从受保护动作登录后回到原任务。",7,9,7,S,
BL-18 审计日志与安全监控,待开始,Ops,后端,"补齐账号相关审计和监控：登录成功/失败、退出、密码重置、权限拒绝、异常 401/403 激增、历史记录访问和删除等。","关键 auth 事件有结构化日志；staging/production 有指标或告警；可按用户、时间、IP 或 request id 排查问题；不记录明文密码/token/敏感 payload。",7,7,5,M,
BL-19 账号数据合规与保留策略,待开始,Security,产品/后端,"明确用户账号、生成历史、图片 URL、导出文件和第三方调用数据的保留、删除、导出和隐私边界。","形成数据保留策略文档；用户或管理员可删除账号/历史；删除后受保护接口不可再访问对应数据；日志和备份中的数据处理边界明确；隐私风险经过评审。",7,6,4,M,
BL-20 Auth 发布验收清单,待开始,Chore,工程管理,"登录功能进入 staging/production 前需要独立发布验收清单，覆盖环境变量、数据库、域名/CORS、回滚、监控、测试账号和验收证据。","发布记录写明验证环境、自动化部署方式、部署来源、运行时变量、测试账号策略、验证结果和证据来源；staging 验证必须来自自动部署环境；禁止手工服务器部署。",8,8,6,M,
BL-21 前端工具链健康检查,待验收,Chore,前端,"已定位为旧 node_modules 读取异常，重新 npm ci 后恢复；同时修复 IndigoSlides 未使用组件，调整 ESLint 忽略本地依赖备份目录和当前 React demo 不适配的严格规则；npm audit fix 后锁定 Vite 8.1.5，audit 为 0 vulnerabilities。","前端 npm run build、npm run lint、npx tsc -b 可在合理时间内完成；npm audit --audit-level=high 为 0；记录 Node/npm/TypeScript/Vite 推荐版本；CI 或本地脚本能稳定复现验证。",9,8,6,M,
BL-22 根目录文档与素材归档,待开始,Chore,工程管理,"根目录存在多份 PRD、方法论、决策记录和未跟踪文档；需要区分正式文档、历史材料、临时草稿和可删除文件，避免代码库继续混乱。","产出保留/移动/归档/删除清单；正式文档移动到 docs/ 并在 README 链接；重复或过期资料进入 archive/ 或明确不入库；根目录只保留入口级文件。",7,9,7,M,
BL-23 Demo 到生产代码边界整理,待开始,Chore,全栈,"登录/历史、生成、图片、导出、飞书/GitHub webhook 等能力目前混在同一 FastAPI 应用和前端入口中；需要梳理 demo-only、production-ready、实验性模块边界。","形成模块边界说明；标记 demo-only 代码和生产前阻断项；API 路由、服务、配置和测试目录命名一致；README 中说明本地 demo 启动、验证和已知限制。",8,8,5,L,
